Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
435.0,455.0942,429.0854,444.09466,5.28039881,2320.24650468,0.439407436477
444.09466,454.62328,435.6527,445.67967,7.31102956,3276.4334327,0.448149389332
450.08456,452.82438,441.23028,448.34318,9.05765928,4071.93181309,0.44955674388
448.0,464.41767,448.0,459.32469,14.50944605,6631.16049125,0.457023684322
456.08044,456.08044,446.49411,455.16381,7.07584484,3197.89698623,0.45194560629
450.279,452.07737,432.4255,441.03514,8.50354106,3757.03106835,0.441819595136
436.71066,445.40401,431.16639,441.99999,1.77169072,771.453800877,0.435433674833
436.59405,439.99999,429.18,429.18,5.65738445,2449.00253478,0.432886001725
429.18,439.68974,422.19,431.86952,5.74595495,2476.72131732,0.431037371311
431.86951,452.74422,431.61274,441.88615,20.36100047,9150.10649257,0.449393756758
446.26122,451.99976,441.809,448.26174,5.78832423,2576.95415939,0.445198654566
441.809,459.22214,441.809,450.62503,4.09387172,1847.73644659,0.451342048058
450.62503,458.0,446.0967,454.98804,5.47533447,2455.73991695,0.448509571498
450.48544,450.48544,432.87805,441.49669,11.52882673,5065.61334103,0.43938671815200003
437.12758,445.22171,432.21299,440.81786,7.19154535,3143.92843098,0.43717007652400003
444.7599,444.7599,436.44999,440.779,4.50666206,1975.67809126,0.43839055712499997
440.779,445.52,440.779,445.52,0.87112735,384.925892774,0.44187097647
440.89002,449.58704,440.89001,449.58704,3.01861596,1333.65194668,0.441809082161
447.1,453.83236,447.1,453.83236,5.59012563,2517.49275472,0.450346364526
450.53999,453.83236,446.20001,453.83236,0.20613549,92.9201609856,0.450772261417
448.25001,453.80005,445.56,445.56,2.57977675,1151.52377396,0.446365668643
0.0,0.0,0.0,0.0,0.0,0.0,0.0
449.995,498.83996,449.995,493.42751,25.27530064,11926.2289462,0.47185309943700005
493.77,497.66941,490.84583,494.77454,4.23843949,2092.03719389,0.493586660568
494.77454,530.0,494.77454,530.0,32.85014711,16875.6749709,0.513716876653
530.0,548.05423,515.31152,521.46849,14.81544309,7949.09155799,0.536540926228
520.3605,529.99999,515.20587,529.99999,2.61761047,1364.12504557,0.521133706182
529.99999,589.0,529.99999,574.04983,15.82522002,8890.60883611,0.561800014462
570.88904,589.10847,563.67667,583.19989,10.94860085,6369.71503799,0.581783474003
583.2099,594.64098,538.83992,575.53537,26.97925274,15431.3376092,0.571970534468
576.56534,589.16,565.21589,575.83232,5.44505641,3124.01753406,0.573734650081
576.26171,576.26171,564.90155,570.4918,1.40277637,799.121734348,0.569671511039
570.49181,628.60534,566.15006,616.0802,18.17342865,10881.4828824,0.5987578399200001
611.7129,629.0355,603.86986,629.0355,19.36684462,12062.0256264,0.622818319815
627.0,673.37263,621.79217,628.96746,33.09343296,21314.4138785,0.644067779375
633.74909,672.63919,621.79217,660.0,12.30851363,8027.0595881,0.652155071636
663.29883,677.90898,652.26309,671.42938,14.68401162,9784.40882082,0.6663307734989999
665.4967,665.4967,525.0,650.47674,59.16308711,37262.1358951,0.6298206823760001
650.47674,669.74995,650.44672,657.01,15.16377686,9940.39960392,0.6555358665390001
657.01,660.0,653.40266,653.40267,5.42016939,3568.79876263,0.6584293784640001
655.3008,659.8,636.68008,659.8,4.59219475,2983.91580271,0.6497798906960001
650.06533,659.8,646.001,656.43773,0.90148748,590.838687745,0.655404207882
654.51524,655.40593,636.50109,643.43801,4.63940113,2991.77645713,0.644862639229
643.43801,657.71523,643.43801,646.88986,7.12894414,4677.86641992,0.656179418447
649.93241,649.93241,617.99453,617.99453,19.60375825,12480.2377034,0.6366247504310001
630.34421,637.06225,552.00001,571.13506,77.29542908,47146.1842497,0.60994789486
582.39999,617.306,572.51819,589.68386,18.1016915,10699.7508654,0.591091217384
583.86257,600.0,542.96197,565.181,16.63757925,9491.75871731,0.570501187383
573.27782,595.38177,534.2759,595.38177,34.21065485,19437.3280093,0.5681659148160001
589.48399,612.91177,574.17532,597.137,10.22317044,6121.86038645,0.598822099502
597.13702,608.98256,586.25,608.974,2.80176761,1677.67274036,0.59879082561
609.204,625.0,603.41,605.88912,10.00242965,6101.71027605,0.610022813412
603.4,627.05395,594.115,595.93062,8.40599693,5107.52379071,0.6076047651750001
595.80203,602.794,578.508,593.90308,5.80965283,3433.12991721,0.590935468551
589.92084,598.50479,581.093,590.5874,0.76420897,446.871505033,0.58475040542
584.748,602.33414,584.748,596.23865,8.34380806,4973.51099279,0.596072076086
590.36701,590.36701,584.42153,584.42153,2.63511541,1553.93986194,0.5897046694970001
590.202,595.22794,576.12935,586.15372,2.85075357,1662.72025182,0.5832563955419999
575.0,575.00001,557.432,564.425,29.22933529,16692.5468836,0.5710888296959999
568.44301,583.2618,568.44301,575.93045,2.77356002,1596.7827665,0.575715958907
585.51881,599.99999,575.35,597.69266,21.76241551,12711.4575057,0.584101406385
596.77207,604.382,590.21281,590.21281,4.45696487,2660.54052603,0.596939981273
596.05353,602.302,589.76385,589.76385,0.68059782,405.237896819,0.595414626539
587.724,645.00088,587.724,637.0,18.97691245,11843.5429439,0.624102734053
644.9,657.83319,634.164,640.0,12.74856305,8199.21916938,0.643148497381
638.0,658.87046,638.0,646.57973,24.82344188,16103.4120621,0.6487179392760001
644.50278,655.08161,638.8895,647.52335,13.32045092,8644.17668608,0.648940245191
647.52335,652.78999,622.59501,635.25253,2.95964374,1889.12352366,0.638294230527
628.267,634.607,618.0,628.98732,3.74096373,2329.89059304,0.622804913705
629.5,639.48798,629.09801,629.09801,2.24834956,1437.4369768,0.639329845491
627.62401,638.973,614.74121,625.98859,6.4662628,4034.35627736,0.6239084927640001
620.75041,626.87452,614.74195,617.03703,1.43869931,891.918851794,0.619948063917
615.35044,627.89636,615.35044,627.89636,1.63253636,1024.37852246,0.62747669673
632.10834,632.10834,614.47299,614.47299,0.64269544,399.829292026,0.622113161447
618.0,629.4561,614.81343,629.4561,1.5033953,940.172639513,0.625366222386
631.64564,639.38158,631.58744,639.38158,0.72466054,458.774286531,0.633088544508
632.0,653.49,625.28785,626.50085,1.01076695,640.454844027,0.6336325540000001
629.95001,632.67046,618.14322,626.23343,1.34438355,836.352901666,0.622108848079
620.02698,620.02698,620.02698,620.02698,0.18,111.6048564,0.62002698
620.02697,626.16276,612.89942,625.22399,7.40718446,4575.51390994,0.617712969705
625.224,630.00997,610.34746,624.97989,0.96305901,593.832091754,0.616610286169
624.55999,628.99999,615.17054,625.999,12.28947057,7601.7982221,0.618561896446
628.99999,630.0,628.99999,630.0,1.55920445,981.080096863,0.629218379195
629.99899,629.99899,619.0,619.0,0.50676663,318.270377169,0.628041308026
629.76875,629.76875,629.76875,629.76875,0.00063515,0.399997621562,0.62976875
618.68819,618.68819,618.68818,618.68818,8.44036665,5221.95508122,0.61868818
623.98,623.98,610.0,618.62146,7.49582514,4587.10995709,0.611955304642
612.5,623.43078,593.86453,605.63646,17.72326386,10802.1267463,0.60948857003
600.00001,623.22268,593.8005,596.08217,8.67118094,5275.25509167,0.6083663953239999
596.21431,607.95528,593.801,600.0,5.06278238,3023.57924333,0.5972169088829999
600.0,600.0,600.0,600.0,0.1545,92.7,0.6
593.80101,599.99999,574.57864,591.90124,4.09273484,2408.14713701,0.588395591494
586.5,597.66468,575.0711,583.20902,2.67828707,1569.84495618,0.586137674996
577.44182,588.98043,566.75121,566.75121,11.66910091,6730.61187888,0.5767892428720001
573.13807,591.9492,567.62816,590.1668,33.04695941,18998.1843895,0.574884489485
590.09699,602.36146,584.77374,596.4,3.04581682,1807.69894002,0.593502185734
596.4,601.18073,590.4867,590.4867,2.57203495,1525.89054448,0.5932619789929999
594.80131,594.80136,578.85629,578.85629,1.78503459,1058.22089081,0.5928293472520001
579.32951,596.2458,579.32951,596.24532,4.11032835,2427.62735827,0.5906164061729999
584.57433,598.03405,579.00019,579.00019,9.0423468,5380.36942793,0.595019141262
0.0,0.0,0.0,0.0,0.0,0.0,0.0
584.26767,593.00001,577.23864,580.58354,16.81014655,9858.05474641,0.586434789077
589.74092,590.0,583.91906,590.0,0.42726298,251.928239797,0.589632735785
583.93908,590.0,578.13503,590.0,7.80408715,4552.33570497,0.583327123015
590.0,595.35548,583.24163,583.24163,1.65871468,976.29905443,0.588587697572
589.61366,595.36446,572.76593,572.76593,0.47791402,280.238105779,0.5863776621969999
572.76593,579.99771,566.99001,579.99771,3.81911972,2179.80290581,0.570760558878
571.70103,571.70103,531.63618,535.08056,4.34921159,2443.4136683,0.561806115369
535.00001,553.8341,501.0,523.75872,31.82821682,16362.6963756,0.514094033863
525.0,530.0,501.0,529.99999,23.95719955,12475.5853214,0.520744726251
501.1,529.85,500.0,503.52,11.01070929,5544.16258917,0.503524563509
514.0,539.99462,500.0,500.0,2.65133722,1349.44433615,0.508967447055
500.00001,505.0,455.0,455.0,28.54967639,13719.147854,0.480536019625
479.99799,500.5,460.3,474.02001,77.75579152,37096.8776795,0.47709472123299995
495.0,530.0,477.0,530.0,13.53052555,6759.9283122,0.499605746076
530.0,530.0,500.00642,505.0,4.62139148,2349.0458662,0.5082983937559999
529.96506,529.96506,482.21557,529.95385,9.62058564,5098.3854702,0.529945437937
529.95437,529.95437,482.27458,524.99999,0.563896,291.292490331,0.5165713009690001
